매물이름,월세,전세,가격,소재지,특징,공급/전용면적
일반원룸3층,O,X,4000/50,서울시 관악구 봉천동 1678-2,올리모델링된 신축급 안전한 평지코너건물 엘베있어요,21㎡/17㎡(전용률81%)
일반원룸고층,X,O,1억 4000,서울시 관악구 봉천동 1688-66,낙성대역 원룸 빨리와 초역세권 LJD,33.06㎡/23.14㎡(전용률70%)
일반원룸2층,X,O,1억 8000,서울시 관악구 봉천동 1572-31,1.5룸초역세권전세대출가능즉시입주가능준신축급깔끔한방,33㎡/29.7㎡(전용률90%)
일반원룸저층,O,X,300/40,서울시 관악구 봉천동 106-1,풀옵션 준신축급 깔끔컨디션 주차가능 편의시설多 즉시입주,19.8㎡/19.8㎡(전용률100%)
일반원룸B1층,O,X,500/32,서울시 관악구 봉천동 1684-40,낙성대역 초역세권 가성비원룸,18㎡/16㎡(전용률89%)
일반원룸저층,X,O,5000,서울시 관악구 봉천동 1689-23,낙성대 초역세권 원룸 대출가능한 저렴한 안전한집,18㎡/16㎡(전용률89%)
일반원룸2층,O,X,5000/30,서울시 관악구 봉천동 1529-37,봉천역도보6분 신축급 깔끔하고 채광좋은 풀옵션원룸 대출가능,26.4㎡/19.8㎡(전용률75%)
일반원룸2층,X,O,1억 8000,서울시 관악구 봉천동 1572-31,1.5룸 컨디션좋습니다,29.7㎡/26.4㎡(전용률89%)
일반원룸저층,O,X,300/30,서울시 관악구 봉천동 1588-1,역7분 풀옵션 저렴한월세 깔끔한컨디션 즉시입주가능,19.8㎡/19.8㎡(전용률100%)
오피스텔8층,O,X,1000/50,서울시 관악구 봉천동 44-2,-,23.1㎡/19.8㎡(전용률86%)
일반원룸5층,O,X,3000/30,서울시 관악구 봉천동 41-369,분리형 역세권원룸중  착한가격엘리베이터,33㎡/20㎡(전용률61%)
일반원룸B1층,O,X,500/35,서울시 관악구 봉천동 100-248,-,23.1㎡/19.8㎡(전용률86%)
일반원룸B1층,O,X,3000/30,서울시 관악구 봉천동 1652-8,낙성대역 도보 10분거리 가성비 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸1층,O,X,5000/45,서울시 관악구 봉천동 50-80,신축첫입주 서울대입구역도보권 강력추천 화이트톤 깔끔한원룸,26.4㎡/19.8㎡(전용률75%)
일반원룸 다가구단독주택고층,O,X,500/50,서울시 관악구 봉천동 942-2,봉천역 약 8분 단독주택 옥탑방 옥상전체사용고기굽고 음악작업가능,18㎡/18㎡(전용률100%)
일반원룸저층,O,X,200/34,서울시 관악구 봉천동 1524-19,착한가격 풀옵션원룸 공실 즉시입주,-㎡/18㎡(전용률-%)
일반원룸3층,O,X,500/47,서울시 관악구 봉천동 1651-16,낙성대역 6분내외 깔끔한인테리어 풀옵션 원룸,19.8㎡/19.8㎡(전용률100%)
일반원룸2층,O,X,5000/25,서울시 관악구 봉천동 1690-119,역3분 풀옵션 편의시설多 대출가능 공과금ALL포함,23.1㎡/23.1㎡(전용률100%)
일반원룸B1층,O,X,300/45,서울시 관악구 봉천동 1520-34,봉천역 도보 5분거리 가성비 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸1층,O,X,8000/20,서울시 관악구 봉천동 66,서울대입구역도보5분 융자무 전세가능한 깨끗하고 조용한 풀옵션 원룸,26.4㎡/19.8㎡(전용률75%)
일반원룸1층,O,X,1000/40,서울시 관악구 봉천동 1689-18,낙성대역 도보2분테라스有 혼자 살기 좋은 깔끔한 풀옵션 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸1층,O,X,1000/50,서울시 관악구 봉천동 900-25,봉천역 도보 5분거리 가성비 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸저층,O,X,2000/35,서울시 관악구 봉천동 1652-8,역7분 신축급 고급인테리어 풀옵션 편의시설多 엘베有,23.1㎡/23.1㎡(전용률100%)
일반원룸저층,O,X,1000/40,서울시 관악구 봉천동 1688-112,낙성대초역세권 신축급깔끔원룸,16㎡/14㎡(전용률88%)
일반원룸5층,O,X,3000/50,서울시 관악구 봉천동 1563-23,봉천역 도보 5분거리 가성비 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸2층,O,X,1000/40,서울시 관악구 봉천동 1677-6,-,23.1㎡/19.8㎡(전용률86%)
일반원룸저층,O,X,200/28,서울시 관악구 봉천동 148-28,-,20㎡/15㎡(전용률75%)
일반원룸2층,O,X,1000/30,서울시 관악구 봉천동 1688-71,낙성대 초역세권 저렴가성비좋은집 채광도좋아요,20㎡/15㎡(전용률75%)
일반원룸저층,O,X,500/40,서울시 관악구 봉천동 196-85,낙성대 역세권 깔끔한 분리형원룸,20㎡/16㎡(전용률80%)
일반원룸3층,O,X,500/45,서울시 관악구 봉천동 1584-39,편의시설多 즉시입주가능 풀옵션 깔끔한방 채광좋음,23.1㎡/23.1㎡(전용률100%)
