a,b,c,d,,,
12,15,48,35,,,
g,d,b,b,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
써밋파크 1동저층,O,X,"1,000/120",X,전입신고가능 풀옵션 자주식기계식유료주차,37.51㎡/19.06㎡(전용률51%)
양재비버리하임3차(도시형) 102동3층,O,X,1억/150,X,공동환영O신축급O옵션빵빵O투룸전세O럭셔리아파트O초역세권O,36.44㎡/30㎡(전용률82%)
양재비버리하임3차(도시형) 102동3층,X,O,4억,X,공동환영O신축급O옵션빵빵O투룸전세O럭셔리아파트O초역세권O,36.44㎡/30㎡(전용률82%)
다가구3층,X,O,"2억 6,000",서울시 서초구 양재동 2-13,양재역세권 신축3년차 발코니 엘리베이터 입주협의,26.3㎡/25㎡(전용률95%)
빌라2층,O,X,"5,000/100",서울시 서초구 양재동 251-1,양재천인근 반려동물가능 깔끔한 투룸,43㎡/38㎡(전용률88%)
빌라B1층,X,O,"1억 7,000",서울시 서초구 양재동 15-14,"양재역 도보 8분, 올수리 가성비 짱 원룸",29.23㎡/22.23㎡(전용률76%)
상가주택 1동4층,O,X,2억/15,서울시 서초구 양재동 314-8,초역세권 탑층 투룸 넓은베란다,45.81㎡/45.81㎡(전용률100%)
다가구1층,O,X,1억/32,서울시 서초구 양재동 329-5,"2년내 올수리된 초깔끔 투룸월세, 양재시민의 숲 역세권도보5분내,강추",43.3㎡/38㎡(전용률88%)
일반원룸3층,O,X,"2,000/90",서울시 서초구 양재동 8-26,분리형 원룸,45㎡/35㎡(전용률78%)
다가구3층,O,X,"3,000/80",서울시 서초구 양재동 10-33,"양재역 초역세권2룸 월세,빠른입주가능",50㎡/50㎡(전용률100%)
빌라중층,O,X,130/210,서울시 서초구 양재동 65-1,풀옵션 단기임대 월세할인 이벤트중,37.23㎡/29.94㎡(전용률80%)
